station_id,station_name,vars_id,net_var_name,canonical_variable,row_count,valid_numeric_count,implausible_count,raw_min,raw_median,raw_max,first_observation,last_observation,implausible_pct,median_interval_hours
2654,Brandywine,433,MAXIMUM_AIR_TEMPERATURE,daily_max_temperature,88246,88246,0,-17.39,7.98,40.46,2001-01-22 13:00:00,2011-04-06 11:00:00,0.0,1.0
2654,Brandywine,434,CURRENT_AIR_TEMPERATURE1,air_temperature,187675,187675,0,-73.32,6.198,42.06,2001-01-22 13:00:00,2023-03-18 09:00:00,0.0,1.0
2654,Brandywine,435,MINIMUM_AIR_TEMPERATURE,daily_min_temperature,88225,88225,5,-117.2,2.985,33.94,2001-01-22 13:00:00,2011-04-06 11:00:00,0.0056673278549164065,1.0
2654,Brandywine,436,CURRENT_AIR_TEMPERATURE2,air_temperature,85548,85548,1,-127.5,4.939,40.2,2001-01-22 13:00:00,2011-04-06 11:00:00,0.0011689343994015055,1.0
2654,Brandywine,442,HOURLY_PRECIPITATION,precipitation_amount,165372,165372,44013,-784.0,0.0,6999.0,2001-01-22 13:00:00,2023-03-18 09:00:00,26.614541760394747,1.0
2654,Brandywine,450,HEIGHT_OF_SNOW,snow_depth,133853,133853,50653,-4.482,0.835,218.6,2001-01-22 13:00:00,2023-03-18 09:00:00,37.84225979245889,1.0
2654,Brandywine,451,STANDARD_SNOW,snowfall_amount,87050,87050,0,0.0,0.0,101.0,2001-01-22 13:00:00,2011-04-06 11:00:00,0.0,1.0
2654,Brandywine,720,max_air_temp_snc_last_reset,daily_max_temperature,45044,45044,0,-20.8,8.3,42.8,2020-01-08 11:00:00,2026-07-17 10:00:00,0.0,1.0
2654,Brandywine,721,air_temp,air_temperature,45044,45044,1,-113.0,6.0,42.1,2020-01-08 11:00:00,2026-07-17 10:00:00,0.0022200515051949204,1.0
2654,Brandywine,722,min_air_temp_snc_last_reset,daily_min_temperature,45044,45044,8,-3497.0,3.5,36.3,2020-01-08 11:00:00,2026-07-17 10:00:00,0.017760412041559363,1.0
2654,Brandywine,726,pcpn_amt_pst1hr,precipitation_amount,45034,45034,11117,-2.0,0.0,13.1,2020-01-08 11:00:00,2026-07-17 10:00:00,24.685792956432916,1.0
2654,Brandywine,727,snw_dpth,snow_depth,26366,26366,1018,-7999.0,9.0,119.0,2020-01-08 11:00:00,2026-04-22 02:00:00,3.8610331487521807,1.0
2654,Brandywine,728,snwfl_amt_pst1hr,snowfall_amount,26364,26364,1645,-8.0,0.0,10.0,2020-01-08 11:00:00,2026-04-22 02:00:00,6.239569109391595,1.0
2655,Tantalus,433,MAXIMUM_AIR_TEMPERATURE,daily_max_temperature,15548,15548,0,-12.61,8.305,35.52,2009-06-25 16:00:00,2011-04-06 11:00:00,0.0,1.0
2655,Tantalus,434,CURRENT_AIR_TEMPERATURE1,air_temperature,114838,114838,0,-17.97,7.794,37.69,2009-06-25 16:00:00,2023-03-18 09:00:00,0.0,1.0
2655,Tantalus,435,MINIMUM_AIR_TEMPERATURE,daily_min_temperature,15548,15548,0,-13.72,4.835,31.61,2009-06-25 16:00:00,2011-04-06 11:00:00,0.0,1.0
2655,Tantalus,436,CURRENT_AIR_TEMPERATURE2,air_temperature,15548,15548,1,-348.8,6.35,34.6,2009-06-25 16:00:00,2011-04-06 11:00:00,0.006431695394906097,1.0
2655,Tantalus,442,HOURLY_PRECIPITATION,precipitation_amount,90790,90790,19989,-65.8,0.0,129.8,2009-06-25 17:00:00,2023-03-18 09:00:00,22.01674193193083,1.0
2655,Tantalus,450,HEIGHT_OF_SNOW,snow_depth,57260,57260,20082,-5.335,0.195,101.0,2009-06-25 16:00:00,2023-03-18 09:00:00,35.0716032134125,1.0
2655,Tantalus,451,STANDARD_SNOW,snowfall_amount,13267,13267,1,0.0,0.0,2010.0,2009-06-25 16:00:00,2011-04-06 11:00:00,0.007537499057812618,1.0
2655,Tantalus,720,max_air_temp_snc_last_reset,daily_max_temperature,52330,52330,0,-17.4,9.8,38.3,2020-01-08 11:00:00,2026-07-17 10:00:00,0.0,1.0
2655,Tantalus,721,air_temp,air_temperature,52330,52330,0,-18.0,7.7,37.7,2020-01-08 11:00:00,2026-07-17 10:00:00,0.0,1.0
2655,Tantalus,722,min_air_temp_snc_last_reset,daily_min_temperature,52330,52330,0,-18.0,5.7,32.0,2020-01-08 11:00:00,2026-07-17 10:00:00,0.0,1.0
2655,Tantalus,726,pcpn_amt_pst1hr,precipitation_amount,52324,52324,9936,-1.8,0.0,14.9,2020-01-08 11:00:00,2026-07-17 10:00:00,18.9893739010779,1.0
2655,Tantalus,727,snw_dpth,snow_depth,27705,27705,2437,-2.0,0.0,80.0,2020-01-08 11:00:00,2026-05-05 15:00:00,8.796246164952175,1.0
2655,Tantalus,728,snwfl_amt_pst1hr,snowfall_amount,27705,27705,1022,-7.0,0.0,7.0,2020-01-08 11:00:00,2026-05-05 15:00:00,3.6888648258437104,1.0
2657,Mt. Strachan Precip,433,MAXIMUM_AIR_TEMPERATURE,daily_max_temperature,98705,98705,0,-50.4,2.845,30.28,1997-09-16 16:00:00,2011-04-05 15:00:00,0.0,1.0
2657,Mt. Strachan Precip,434,CURRENT_AIR_TEMPERATURE1,air_temperature,191126,191126,0,-50.6,2.501,35.2,1997-09-16 16:00:00,2023-03-18 09:00:00,0.0,1.0
2657,Mt. Strachan Precip,435,MINIMUM_AIR_TEMPERATURE,daily_min_temperature,96983,96983,0,-50.7,0.1,27.69,1997-09-16 16:00:00,2011-04-05 15:00:00,0.0,1.0
2657,Mt. Strachan Precip,442,HOURLY_PRECIPITATION,precipitation_amount,189378,189378,43877,-1183.7,0.0,371.0,1993-12-22 16:00:00,2023-03-18 09:00:00,23.169005903536842,1.0
2657,Mt. Strachan Precip,451,STANDARD_SNOW,snowfall_amount,19337,19337,0,0.0,0.0,0.0,1997-09-16 16:00:00,2001-09-21 11:00:00,0.0,1.0
2657,Mt. Strachan Precip,720,max_air_temp_snc_last_reset,daily_max_temperature,35634,35634,0,-21.4,5.0,35.6,2020-01-08 11:00:00,2024-09-25 10:00:00,0.0,1.0
2657,Mt. Strachan Precip,721,air_temp,air_temperature,45170,45170,0,-22.4,3.6,35.2,2020-01-08 11:00:00,2026-07-17 09:00:00,0.0,1.0
2657,Mt. Strachan Precip,722,min_air_temp_snc_last_reset,daily_min_temperature,35634,35634,0,-22.5,1.9,32.8,2020-01-08 11:00:00,2024-09-25 10:00:00,0.0,1.0
